Ticker,Setup_Date,Close_Price,Volume
SOFI,2024-08-29,8.03,84954500
MRVL,2024-08-30,75.83,32029800
NOW,2024-08-30,171.0,9605000
PLTR,2024-09-09,34.6,140582500
META,2024-09-17,533.25,11690800
AMZN,2024-09-19,189.87,39543200
CRM,2024-09-19,262.63,11022800
META,2024-09-19,555.9,15647000
AVGO,2024-09-20,168.49,91758500
CRM,2024-10-02,275.95,8512300
AMD,2024-10-04,170.9,44556500
CRM,2024-10-04,284.11,6129900
SHOP,2024-10-04,82.43,7737900
SOFI,2024-10-04,8.39,58014300
NVDA,2024-10-07,127.52,346250200
PANW,2024-10-08,177.57,6637000
PLTR,2024-10-09,43.13,86404700
ARM,2024-10-14,161.82,9073300
MRVL,2024-10-14,77.32,12347900
AAPL,2024-10-15,232.11,64751400
MRVL,2024-10-15,79.05,25056300
SOFI,2024-10-24,10.93,72141300
PLTR,2024-10-25,44.86,50416500
AMD,2024-10-29,166.25,71896000
CRM,2024-10-29,295.11,4280700
AMZN,2024-10-30,192.73,37707600
MU,2024-11-06,111.26,20304500
NVDA,2024-11-06,145.38,242043900
ORCL,2024-11-06,177.74,11085000
PANW,2024-11-06,192.59,5031400
TSLA,2024-11-06,288.53,165228700
ORCL,2024-11-07,182.77,7759400
TSLA,2024-11-07,296.91,117309200
SOFI,2024-11-08,13.01,83464200
SOFI,2024-11-11,14.11,106393400
AMZN,2024-11-13,214.1,46212900
NFLX,2024-11-18,84.71,40812000
DELL,2024-11-22,140.58,7688600
AAPL,2024-11-25,231.39,90152800
AAPL,2024-12-02,238.07,48137100
META,2024-12-02,589.44,12522400
MRVL,2024-12-02,96.42,17482000
META,2024-12-03,610.14,14907200
PLTR,2024-12-03,70.96,100751400
AAPL,2024-12-04,241.47,44383900
AMZN,2024-12-04,218.16,48745700
MSFT,2024-12-04,432.29,26009400
NOW,2024-12-04,224.63,10315000
SNOW,2024-12-04,186.51,13585600
AMZN,2024-12-06,227.03,44178100
AAPL,2024-12-09,245.18,44649200
RIVN,2024-12-09,14.45,77982900
TSLA,2024-12-09,389.79,96359200
GOOGL,2024-12-10,184.21,54813000
GOOGL,2024-12-11,194.38,67894100
NFLX,2024-12-11,93.66,35017000
AAPL,2024-12-16,249.45,51694800
AMZN,2024-12-16,232.93,37552100
RIVN,2024-12-16,15.34,56008800
NVDA,2025-01-03,144.25,229322500
RIVN,2025-01-03,16.49,124581800
META,2025-01-06,627.1,14560800
SHOP,2025-01-06,114.24,7073800
MRVL,2025-01-17,124.25,14869600
MSTR,2025-01-17,396.5,24339100
SOFI,2025-01-17,16.5,40496500
AMZN,2025-01-21,230.71,39951500
ARM,2025-01-21,155.2,6807500
META,2025-01-24,644.31,19065300
META,2025-01-27,656.63,28399200
PLTR,2025-01-31,82.49,78731000
SNOW,2025-02-13,192.66,5686400
RIVN,2025-02-14,14.03,33953000
RIVN,2025-02-18,14.44,39963200
SOFI,2025-02-18,16.83,53815000
PLTR,2025-03-24,96.75,112164700
UBER,2025-04-17,75.24,21893400
PLTR,2025-04-23,100.82,112909500
MSTR,2025-04-25,368.71,19338600
RIVN,2025-04-30,13.66,48760500
UBER,2025-05-02,84.28,22401800
UBER,2025-05-05,85.43,25339000
MSTR,2025-05-08,414.38,22135600
SNOW,2025-05-08,173.97,3462500
AVGO,2025-05-12,219.45,25437700
PANW,2025-05-12,193.5,4580800
SNOW,2025-05-12,180.54,4276500
AVGO,2025-05-13,230.19,28790500
PLTR,2025-05-13,128.1,147155400
NVDA,2025-05-14,135.15,281180800
COIN,2025-05-22,271.95,15613700
TSLA,2025-05-27,362.89,120146400
AVGO,2025-05-28,237.13,20443000
ORCL,2025-05-28,161.66,8090700
AVGO,2025-05-29,239.65,20743700
NVDA,2025-05-29,139.0,369241900
ORCL,2025-05-30,163.32,17547900
PLTR,2025-05-30,131.78,185897600
META,2025-06-02,668.19,15766300
MU,2025-06-03,101.99,22757600
MSFT,2025-06-05,463.97,20131700
AMD,2025-06-09,121.73,55437700
ARM,2025-06-09,138.61,6864600
ORCL,2025-06-09,174.78,9668900
AMD,2025-06-10,123.24,41691900
GOOGL,2025-06-10,178.09,61766100
PLTR,2025-06-11,136.39,97366000
SHOP,2025-06-11,114.13,14078100
MSFT,2025-06-12,475.08,18950600
ARM,2025-06-17,144.72,5883200
MRVL,2025-06-18,74.73,55359800
DELL,2025-06-20,117.58,9568400
ARM,2025-06-23,149.33,4742300
MSFT,2025-06-23,482.15,24864000
TSLA,2025-06-23,348.68,190716800
META,2025-06-24,709.87,13823200
SNOW,2025-06-24,223.14,7206500
NVDA,2025-06-25,154.1,269146500
DELL,2025-06-26,124.09,9434800
NFLX,2025-06-27,132.31,40709000
NVDA,2025-06-27,157.54,263234500
NFLX,2025-06-30,133.91,32829000
ORCL,2025-06-30,215.71,31844200
ORCL,2025-07-02,226.91,22326900
SNOW,2025-07-07,225.79,4090000
UBER,2025-07-07,96.68,29817200
UBER,2025-07-08,97.48,20586800
MSTR,2025-07-09,415.41,13065400
NVDA,2025-07-09,162.66,183656400
COIN,2025-07-10,388.96,17241600
MSTR,2025-07-10,421.74,13208600
AMZN,2025-07-11,225.02,50518300
NVDA,2025-07-11,164.7,193633300
PLTR,2025-07-14,149.15,81774400
AMD,2025-07-15,155.61,93370100
SMCI,2025-07-15,53.17,62012800
SHOP,2025-07-16,120.0,12714100
ORCL,2025-07-17,245.95,17631300
COIN,2025-07-18,419.78,28063200
DELL,2025-07-18,129.27,11025200
GOOGL,2025-07-21,189.56,45803100
GOOGL,2025-07-22,190.8,44660200
AMD,2025-07-25,166.47,53432300
AMD,2025-07-28,173.66,68267800
DELL,2025-07-28,132.39,4846600
SMCI,2025-07-28,60.05,72578800
AVGO,2025-07-29,295.26,19210800
AVGO,2025-07-30,300.42,16738900
MRVL,2025-07-30,81.57,45527600
ORCL,2025-07-31,250.91,15548700
GOOGL,2025-08-08,200.85,39161800
MU,2025-08-11,123.52,35065800
TSLA,2025-08-11,339.03,105320200
AVGO,2025-08-12,310.55,17609600
META,2025-08-12,787.42,14563100
UBER,2025-08-19,95.32,21177300
GOOGL,2025-08-28,211.04,32339300
GOOGL,2025-08-29,212.3,39728400
AAPL,2025-09-03,237.8,66427800
AMZN,2025-09-04,235.68,59391800
MU,2025-09-04,124.01,18589100
NFLX,2025-09-04,125.75,30235000
MU,2025-09-05,131.16,28416000
TSLA,2025-09-11,368.81,103756000
TSLA,2025-09-12,395.94,168156400
GOOGL,2025-09-15,251.12,58383800
PLTR,2025-09-18,176.97,70768600
SHOP,2025-09-18,152.11,6485800
SOFI,2025-09-18,28.11,71508300
AAPL,2025-09-19,244.81,163741300
GOOGL,2025-09-19,254.22,55571400
MSFT,2025-09-19,514.67,52474100
PANW,2025-09-19,208.19,8925300
PLTR,2025-09-19,182.39,109129900
DELL,2025-09-30,140.22,9934600
NVDA,2025-09-30,186.34,236981000
DELL,2025-10-01,148.04,13612000
MSFT,2025-10-01,516.44,22632300
MU,2025-10-01,181.86,41674800
SMCI,2025-10-01,52.39,48357200
AMD,2025-10-02,169.73,55475200
COIN,2025-10-02,372.07,15750400
SNOW,2025-10-02,240.54,6623100
AMD,2025-10-06,203.71,248859600
ARM,2025-10-06,156.22,5095900
PANW,2025-10-06,212.58,7286900
SNOW,2025-10-06,242.52,5131200
NVDA,2025-10-09,192.32,182997200
AVGO,2025-10-13,354.71,45984300
MU,2025-10-16,202.33,42041300
ORCL,2025-10-16,310.01,32500900
AAPL,2025-10-20,261.5,90483000
MU,2025-10-24,218.81,25821800
SNOW,2025-10-24,257.94,5169300
AAPL,2025-10-27,268.05,44888200
MSFT,2025-10-27,528.17,18734700
PANW,2025-10-27,220.29,5439600
PLTR,2025-10-27,189.18,47153100
SHOP,2025-10-27,175.06,9929500
SNOW,2025-10-27,265.97,4778800
SOFI,2025-10-27,30.0,82986500
AVGO,2025-10-28,370.89,21056000
NVDA,2025-10-28,200.77,297986200
SOFI,2025-10-28,31.66,183013600
AVGO,2025-10-29,383.83,24975200
NVDA,2025-10-29,206.78,308829600
PLTR,2025-10-29,198.81,65537300
MRVL,2025-10-31,93.6,29320800
SNOW,2025-10-31,274.88,6207600
TSLA,2025-11-03,468.37,84595200
AAPL,2025-12-01,282.58,46587700
MRVL,2025-12-01,90.97,18143400
AAPL,2025-12-02,285.66,53669500
MRVL,2025-12-02,92.75,38231100
TSLA,2025-12-03,446.74,87483000
PLTR,2025-12-10,187.91,59398000
TSLA,2025-12-12,458.96,95656700
TSLA,2025-12-15,475.31,114542200
AMD,2026-01-02,223.47,36446200
MU,2026-01-02,315.24,42604300
MRVL,2026-01-05,90.1,21328400
MU,2026-01-16,362.54,47901900
GOOGL,2026-01-29,337.81,39785600
NVDA,2026-01-29,192.28,171764400
GOOGL,2026-02-02,343.24,32006100
AMD,2026-04-10,245.04,36477200
DELL,2026-04-13,189.2,10506700
NFLX,2026-04-14,106.28,40534900
AVGO,2026-04-15,396.09,29559300
NFLX,2026-04-15,107.71,38023700
NVDA,2026-04-15,198.64,185338400
AMD,2026-04-16,278.26,64850800
DELL,2026-04-16,192.49,11474700
MRVL,2026-04-20,147.8,39548500
DELL,2026-04-21,212.36,9078200
MRVL,2026-04-21,151.27,31901100
ARM,2026-04-22,196.57,13932300
AVGO,2026-04-22,421.98,23702500
ARM,2026-04-23,204.61,16854100
AMZN,2026-04-24,263.99,53777400
GOOGL,2026-04-24,344.19,26426100
NVDA,2026-04-24,208.03,214134400
GOOGL,2026-04-27,350.13,28576900
NVDA,2026-04-27,216.36,187172400
AAPL,2026-05-01,279.88,79915400
MU,2026-05-01,542.13,40215300
DELL,2026-05-06,238.8,9187200
PANW,2026-05-07,196.53,10556600
DELL,2026-05-08,260.46,12168100
PANW,2026-05-08,207.88,11641800
AAPL,2026-05-13,298.87,52684300
GOOGL,2026-05-13,402.38,28144600
MRVL,2026-05-13,177.91,31862600
AVGO,2026-05-14,439.1,19733800
MRVL,2026-05-14,182.53,32661100
ARM,2026-05-20,256.73,18297600
ARM,2026-05-21,298.23,21796600
DELL,2026-05-22,295.19,15291500
DELL,2026-05-26,305.08,10305700
MRVL,2026-05-26,208.21,42558200
MU,2026-05-26,895.74,76560800
SMCI,2026-05-26,37.1,43169000
MU,2026-05-27,928.27,72295700
ORCL,2026-05-28,202.99,25339900
AVGO,2026-05-29,446.06,41798400
MSFT,2026-05-29,450.24,79654400
ORCL,2026-05-29,225.0,41082200
PANW,2026-05-29,281.69,14998900
ARM,2026-06-01,408.85,20741500
AMD,2026-06-15,547.26,33482400
MU,2026-06-18,1133.82,64642500
PANW,2026-06-18,287.78,12194700
SNOW,2026-06-26,248.96,25607000
PANW,2026-06-29,332.0,10334700
AMD,2026-06-30,580.91,34488500
PANW,2026-06-30,341.02,9634200
